sample_id,cohort,target,ground_truth_object_id,label_only_prediction,label_then_evidence_prediction,label_only_correct,label_then_evidence_correct,label_only_score,label_then_evidence_score,explanation
task_03_bbq_sauce_state_06,additional_states,bbq sauce,object_005,object_005,object_005,True,True,1.0,1.0,"The label on this bottle clearly reads ""BBQ Sauce"" in red and yellow colors."
task_03_bbq_sauce_state_07,additional_states,bbq sauce,object_005,object_005,object_005,True,True,1.0,1.0,"The label on this bottle clearly reads ""BBQ Sauce"" with a red and yellow design."
task_03_bbq_sauce_state_08,additional_states,bbq sauce,object_005,object_005,object_005,True,True,0.9999993295729128,1.0,"The label on this bottle clearly reads ""BBQ Sauce"" in red and yellow colors."
task_03_bbq_sauce_state_09,additional_states,bbq sauce,object_005,object_005,object_005,True,True,1.0,1.0,"The label clearly reads ""BBQ Sauce"" with a red bottle and yellow text."
task_03_bbq_sauce_state_10,additional_states,bbq sauce,object_005,object_005,object_005,True,True,1.0,1.0,"The label on this bottle clearly reads ""BBQ Sauce"" with a red cap and yellow stripes."
task_04_ketchup_state_01,additional_states,ketchup,object_002,object_002,object_002,True,True,0.9999996871837232,1.0,"The label on this bottle clearly reads ""Tomato Ketchup"" with a red color typical of ketchup bottles."
task_04_ketchup_state_02,additional_states,ketchup,object_003,object_003,object_003,True,True,1.0,1.0,"The label on this bottle clearly reads ""Tomato Ketchup"" with a red bottle shape."
task_04_ketchup_state_03,additional_states,ketchup,object_003,object_003,object_003,True,True,0.9999998063873693,1.0,"The label on this bottle clearly reads ""Tomato Ketchup"" with a red bottle shape."
task_04_ketchup_state_04,additional_states,ketchup,object_003,object_003,object_003,True,True,1.0,1.0,"The label on this bottle clearly reads ""Tomato Ketchup"" with a red bottle shape."
task_04_ketchup_state_05,additional_states,ketchup,object_003,object_003,object_003,True,True,0.9999996871837232,1.0,"The label on the bottle clearly reads ""Tomato Ketchup"" and the bottle is red, typical for ketchup."
task_04_ketchup_state_06,additional_states,ketchup,object_003,object_003,object_003,True,True,1.0,1.0,"The label on this bottle clearly reads ""Tomato Ketchup"" with a red bottle shape."
task_04_ketchup_state_07,additional_states,ketchup,object_003,object_003,object_003,True,True,1.0,1.0,"The label on the bottle clearly reads ""Tomato Ketchup"" with a red bottle shape."
task_04_ketchup_state_08,additional_states,ketchup,object_002,object_002,object_002,True,True,1.0,1.0,"The label on this bottle clearly reads ""Tomato Ketchup"" with a red color typical of ketchup bottles."
task_04_ketchup_state_09,additional_states,ketchup,object_003,object_003,object_003,True,True,1.0,1.0,"The label clearly reads ""Tomato Ketchup"" on the red bottle."
task_04_ketchup_state_10,additional_states,ketchup,object_003,object_003,object_003,True,True,0.9999998063873693,1.0,"The label on the bottle clearly reads ""Tomato Ketchup"" with a red bottle shape."
task_05_tomato_sauce_state_01,additional_states,tomato sauce,object_003,object_005,object_003,False,True,0.9984987679933719,1.0,The can with a red and green label and images of tomatoes matches typical tomato sauce packaging.
task_05_tomato_sauce_state_02,additional_states,tomato sauce,object_003,object_005,object_005,False,False,1.0,1.0,The bottle labeled BBQ sauce is the closest match to tomato sauce in shape and packaging.
task_05_tomato_sauce_state_03,additional_states,tomato sauce,object_003,object_005,object_005,False,False,1.0,1.0,The bottle shape and red color with a cap suggest it contains tomato sauce.
task_05_tomato_sauce_state_04,additional_states,tomato sauce,object_003,object_005,object_005,False,False,1.0,0.9399116796753325,"The bottle in E is labeled with a red sauce, consistent with tomato sauce packaging."
task_05_tomato_sauce_state_05,additional_states,tomato sauce,object_003,object_005,object_006,False,False,1.0,0.9839060437740345,"The label on this bottle clearly reads BBQ sauce, which is a type of tomato sauce."
task_05_tomato_sauce_state_06,additional_states,tomato sauce,object_003,object_006,object_006,False,False,0.9525726998385136,0.9995647765505681,"The bottle is labeled BBQ sauce, which is a type of sauce similar in packaging to tomato sauce."
task_05_tomato_sauce_state_07,additional_states,tomato sauce,object_003,object_005,object_005,False,False,0.9999996871837232,0.9999996871837232,"The bottle labeled ""BBQ Sauce"" is the closest match to tomato sauce among the candidates."
task_05_tomato_sauce_state_08,additional_states,tomato sauce,object_003,object_003,object_003,True,True,1.0,0.8516139578145572,"The can in C has a red and green label with images of tomatoes, typical for tomato sauce packaging."
task_05_tomato_sauce_state_09,additional_states,tomato sauce,object_003,object_003,object_005,True,False,0.996768933183916,0.999999448776502,The bottle shape and red color with a cap suggest it contains tomato sauce.
task_05_tomato_sauce_state_10,additional_states,tomato sauce,object_003,object_005,object_003,False,True,1.0,0.9999897933314713,The can in C has a red and green label typical of tomato sauce packaging.
task_06_butter_state_01,additional_states,butter,object_007,object_007,object_007,True,True,1.0,1.0,"The label on the box clearly reads ""BUTTER,"" matching the target semantic."
task_06_butter_state_02,additional_states,butter,object_007,object_007,object_007,True,True,1.0,1.0,"The packaging clearly shows the word ""BUTTER"" on the box."
task_06_butter_state_03,additional_states,butter,object_007,object_007,object_007,True,True,1.0,1.0,"The label on the box clearly reads ""BUTTER"" in large letters."
task_06_butter_state_04,additional_states,butter,object_007,object_007,object_007,True,True,1.0,1.0,"The box is labeled ""BUTTER"" and matches the typical packaging for butter."
task_06_butter_state_05,additional_states,butter,object_007,object_007,object_007,True,True,1.0,1.0,"The label on the box clearly reads ""BUTTER"" with a butter image on the packaging."
task_06_butter_state_06,additional_states,butter,object_007,object_007,object_007,True,True,1.0,1.0,"The label on the box clearly reads ""BUTTER,"" matching the target butter."
task_06_butter_state_07,additional_states,butter,object_007,object_007,object_007,True,True,1.0,1.0,"The label on the box clearly reads ""BUTTER"" in red and yellow colors."
task_06_butter_state_08,additional_states,butter,object_007,object_007,object_007,True,True,1.0,1.0,"The box is labeled ""BUTTER"" with a yellow and red design matching typical butter packaging."
task_06_butter_state_09,additional_states,butter,object_007,object_007,object_007,True,True,1.0,1.0,"The box clearly shows the word ""BUTTER"" on its side in red and yellow colors."
task_06_butter_state_10,additional_states,butter,object_007,object_007,object_007,True,True,1.0,1.0,"The box is labeled ""BUTTER"" and matches the target butter semantic."
task_07_milk_state_01,additional_states,milk,object_002,object_002,object_002,True,True,0.9999998063873693,1.0,"The carton clearly displays the word ""Milk"" in large letters on the front."
task_07_milk_state_02,additional_states,milk,object_002,object_002,object_002,True,True,1.0,0.9999998063873693,"The carton clearly displays the word ""Milk"" in large letters on the front."
task_07_milk_state_03,additional_states,milk,object_002,object_002,object_002,True,True,1.0,1.0,"The package clearly shows the word ""Milk"" in large letters on the front."
task_07_milk_state_04,additional_states,milk,object_002,object_002,object_002,True,True,0.999999448776502,1.0,"The carton clearly displays the word ""Milk"" in large letters on the front."
task_07_milk_state_05,additional_states,milk,object_002,object_002,object_002,True,True,1.0,1.0,"The object clearly shows the word ""Milk"" and a cow image, indicating it is a milk carton."
task_07_milk_state_06,additional_states,milk,object_002,object_002,object_002,True,True,1.0,1.0,"The object clearly shows the word ""Milk"" on its packaging in large letters."
task_07_milk_state_07,additional_states,milk,object_002,object_002,object_002,True,True,1.0,0.9999995679801056,"The package clearly shows the word ""Milk"" in large white letters on a red background."
task_07_milk_state_08,additional_states,milk,object_002,object_002,object_002,True,True,1.0,1.0,"The object clearly shows the word ""Milk"" in large letters on the packaging."
task_07_milk_state_09,additional_states,milk,object_002,object_002,object_002,True,True,1.0,1.0,"The carton clearly shows the word ""Milk"" and a cow illustration, indicating it contains milk."
task_07_milk_state_10,additional_states,milk,object_002,object_002,object_002,True,True,0.9999998063873693,1.0,"The carton clearly displays the word ""Milk"" in large letters on the front."
task_08_chocolate_pudding_state_01,additional_states,chocolate pudding,object_007,object_007,object_007,True,True,1.0,0.9975274032511579,"The box behind the bottle in G is labeled ""chocolate pudding."""
task_08_chocolate_pudding_state_02,additional_states,chocolate pudding,object_007,object_007,object_007,True,True,1.0,1.0,The box behind the bottle in G is labeled as chocolate pudding.
task_08_chocolate_pudding_state_03,additional_states,chocolate pudding,object_007,object_007,object_007,True,True,1.0,1.0,"The label on this box clearly reads ""chocolate pudding,"" matching the target description."
task_08_chocolate_pudding_state_04,additional_states,chocolate pudding,object_007,object_007,object_007,True,True,0.9999545100305701,0.99966459043674,"The box in G has a visible label with the word ""chocolate"" and a pudding image."
task_08_chocolate_pudding_state_05,additional_states,chocolate pudding,object_007,object_007,object_007,True,True,1.0,1.0,The object in G shows a box with a label that resembles chocolate pudding packaging.
task_08_chocolate_pudding_state_06,additional_states,chocolate pudding,object_007,object_007,object_007,True,True,1.0,1.0,"The label on the box behind the bottle reads ""chocolate pudding."""
task_08_chocolate_pudding_state_07,additional_states,chocolate pudding,object_007,object_007,object_007,True,True,1.0,0.9998909793854133,The box behind the white lid in G matches typical chocolate pudding packaging.
task_08_chocolate_pudding_state_08,additional_states,chocolate pudding,object_007,object_007,object_007,True,True,1.0,1.0,The box behind the white bottle in G is labeled as chocolate pudding.
task_08_chocolate_pudding_state_09,additional_states,chocolate pudding,object_007,object_007,object_007,True,True,1.0,1.0,The box in G has a brown color and shape consistent with chocolate pudding packaging.
task_08_chocolate_pudding_state_10,additional_states,chocolate pudding,object_007,object_007,object_007,True,True,1.0,1.0,"The box behind the bottle in G is labeled ""chocolate pudding"" and matches the target description."
task_09_orange_juice_state_01,additional_states,orange juice,object_003,object_003,object_003,True,True,1.0,1.0,"The label clearly reads ""ORANGE JUICE"" with an orange graphic on the carton."
task_09_orange_juice_state_02,additional_states,orange juice,object_003,object_003,object_003,True,True,1.0,1.0,"The label clearly reads ""ORANGE JUICE"" with an orange graphic on the carton."
task_09_orange_juice_state_03,additional_states,orange juice,object_003,object_003,object_003,True,True,0.9999998063873693,1.0,"The label clearly reads ""ORANGE JUICE"" with an orange graphic on the carton."
task_09_orange_juice_state_04,additional_states,orange juice,object_003,object_003,object_003,True,True,1.0,1.0,"The label clearly reads ""ORANGE JUICE"" with an orange graphic on the carton."
task_09_orange_juice_state_05,additional_states,orange juice,object_003,object_003,object_003,True,True,1.0,1.0,"The label clearly reads ""ORANGE JUICE"" with an orange graphic on the carton."
task_09_orange_juice_state_06,additional_states,orange juice,object_003,object_003,object_003,True,True,1.0,1.0,"The label clearly reads ""ORANGE JUICE"" with an orange graphic on the carton."
task_09_orange_juice_state_07,additional_states,orange juice,object_003,object_003,object_003,True,True,1.0,1.0,"The label clearly reads ""ORANGE JUICE"" with an orange graphic on the carton."
task_09_orange_juice_state_08,additional_states,orange juice,object_003,object_003,object_003,True,True,0.9999998063873693,1.0,"The label clearly reads ""ORANGE JUICE"" with an orange graphic on the carton."
task_09_orange_juice_state_09,additional_states,orange juice,object_003,object_003,object_003,True,True,1.0,1.0,"The label clearly reads ""ORANGE JUICE"" with an orange graphic on the carton."
task_09_orange_juice_state_10,additional_states,orange juice,object_003,object_003,object_003,True,True,1.0,1.0,"The label clearly reads ""ORANGE JUICE"" with an orange graphic on the carton."
