sample_id,cohort,partition,target_description,ground_truth_object_id,initial_state_index,input_sha256,localization_sha256,condition,model,provider,generated_output_text,choice,predicted_object_id,explanation,explanation_word_count,format_valid,decision_tokens,decision_token_count,output_token_count,raw_log_probability,raw_sequence_likelihood,decision_character_span,candidate_map,correct,image_sha256,request_sha256,response_path,response_sha256,score_type
fresh_moka_pot,additional_objects,exploratory_new_objects,moka pot,object_003,,1fa42ad2e47369f0a7872b0ae7e95fb9ec022727176f8ff5f31949ac82ee07fe,7e88ab03008e09c5062bf142b3a3feb2002e88aad563dedb6f77745825425448,label_only,gpt-4.1-mini-2025-04-14,openai,C,C,object_003,,0,True,"[{""index"":0,""token"":""C"",""logprob"":0.0}]",1,1,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003""}",True,3fa69972f7d88a8aafa6aa75e12728688e75909adbe10983f40b853478e6c249,b3a73a939edf12c783f2e1b03fb5bf5278d2ee3f0a2119f2b6314643a31f518b,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_moka_pot_label_only.json,6397034d5770d7b31ac089bc78315489bef7e146172eb877954127180a53ba5a,raw_label_likelihood
fresh_moka_pot,additional_objects,exploratory_new_objects,moka pot,object_003,,1fa42ad2e47369f0a7872b0ae7e95fb9ec022727176f8ff5f31949ac82ee07fe,7e88ab03008e09c5062bf142b3a3feb2002e88aad563dedb6f77745825425448,label_then_evidence,gpt-4.1-mini-2025-04-14,openai,"C
The object has the distinctive octagonal shape and handle of a moka pot.",C,object_003,The object has the distinctive octagonal shape and handle of a moka pot.,13,True,"[{""index"":0,""token"":""C"",""logprob"":0.0}]",1,17,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003""}",True,3fa69972f7d88a8aafa6aa75e12728688e75909adbe10983f40b853478e6c249,bd41d9f47ccf7b63f671ab351cba833a57d4794a2ce207206495f3222422d17b,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_moka_pot_label_then_evidence.json,08ad590b8bf1b11c4ff5e2d4627d91e6feb74ce485b9b177385f1152aec2ccd6,raw_label_likelihood
fresh_plate,additional_objects,exploratory_new_objects,plate,object_003,,98ddd609e1fe80fdb8b43e21977e7692860ec19f6028474d7cd4dc2a1253e063,7ba11e3f2ac9eb388ced4714253714ce80410c7dfa13f09a74f3057e09e82f42,label_only,gpt-4.1-mini-2025-04-14,openai,C,C,object_003,,0,True,"[{""index"":0,""token"":""C"",""logprob"":0.0}]",1,1,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004""}",True,bae50872edc28de16954b0c00535aec42765da870bade2b830a07be01e3e6dc0,7482cdc955007d17e3d1b170204e10c42772452ebeab5e8c41f5940dd3db1469,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_plate_label_only.json,642cf0dafca5c4a05c1943e8bef1321dfbb8bfb76e8c6da0f3760025d5db762f,raw_label_likelihood
fresh_plate,additional_objects,exploratory_new_objects,plate,object_003,,98ddd609e1fe80fdb8b43e21977e7692860ec19f6028474d7cd4dc2a1253e063,7ba11e3f2ac9eb388ced4714253714ce80410c7dfa13f09a74f3057e09e82f42,label_then_evidence,gpt-4.1-mini-2025-04-14,openai,"C
The object is flat and round with a plate-like design and red stripes on the rim.",C,object_003,The object is flat and round with a plate-like design and red stripes on the rim.,16,True,"[{""index"":0,""token"":""C"",""logprob"":0.0}]",1,20,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004""}",True,bae50872edc28de16954b0c00535aec42765da870bade2b830a07be01e3e6dc0,3f759836043672c9fbb9248e888e36213d0bc152111a0e28044b5031e587e52d,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_plate_label_then_evidence.json,f2a402a354abc4511d9de395f7a58e91d7bf781b8061c44d95b2ac39cf65cbc8,raw_label_likelihood
fresh_porcelain_mug,additional_objects,exploratory_new_objects,white mug,object_001,,7a1002fa360ae08b909c3e91757c12505edd18cd17e93577860466af5eb09293,0e659890e26f4afaea64d7b4ffb3067c688f378725cf87f4ad7b3b38e218b522,label_only,gpt-4.1-mini-2025-04-14,openai,A,A,object_001,,0,True,"[{""index"":0,""token"":""A"",""logprob"":0.0}]",1,1,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005""}",True,f1877405404c6076a5caf614149b78278d213fba9f61837be46940c597050d57,6aa77904164469cdec51e3e0b4804d23be4d212f0eba5c6e156dfea5bb2616c7,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_porcelain_mug_label_only.json,86dbbacde91ce3a6bec697ea855b3547fcf19734dbc8c4f20b8790ade1e80112,raw_label_likelihood
fresh_porcelain_mug,additional_objects,exploratory_new_objects,white mug,object_001,,7a1002fa360ae08b909c3e91757c12505edd18cd17e93577860466af5eb09293,0e659890e26f4afaea64d7b4ffb3067c688f378725cf87f4ad7b3b38e218b522,label_then_evidence,gpt-4.1-mini-2025-04-14,openai,"A
The mug is completely white with a textured surface, matching the target description.",A,object_001,"The mug is completely white with a textured surface, matching the target description.",13,True,"[{""index"":0,""token"":""A"",""logprob"":0.0}]",1,17,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005""}",True,f1877405404c6076a5caf614149b78278d213fba9f61837be46940c597050d57,42d1100385c85e5209ac52b1a1261bf054b615ca5621b63d129b40c96c2e97c1,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_porcelain_mug_label_then_evidence.json,11211eabd3fc8603158bf4a8fc3a1237c45906aa2fc114fd1589e2201910db1c,raw_label_likelihood
fresh_red_coffee_mug,additional_objects,exploratory_new_objects,red mug,object_002,,ae71c427b3d270b9a75fd8fa1993ed36a1a0965c3d180dbffb67bc47fc9a2dae,a285d4c148a910a4c7d350e9cba10073595c3eedc30ac7d336f558349bdc7976,label_only,gpt-4.1-mini-2025-04-14,openai,B,B,object_002,,0,True,"[{""index"":0,""token"":""B"",""logprob"":-4.320199877838604e-07}]",1,1,-4.320199877838604e-07,0.9999995679801056,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005""}",True,31d4a0d8d546eda15f7338eedb7657508df123e7227052a0341b17856218a17f,aaa8a1285195b9336c015e94927005fc1f14b8d76f90e2c82189dfa0150129b5,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_red_coffee_mug_label_only.json,8c41b89ebb99ae39180264cd0ba6742732f9cff2bc9dc4fee81a5529f98b3dde,raw_label_likelihood
fresh_red_coffee_mug,additional_objects,exploratory_new_objects,red mug,object_002,,ae71c427b3d270b9a75fd8fa1993ed36a1a0965c3d180dbffb67bc47fc9a2dae,a285d4c148a910a4c7d350e9cba10073595c3eedc30ac7d336f558349bdc7976,label_then_evidence,gpt-4.1-mini-2025-04-14,openai,"B
The mug is red with white decorative patterns, matching the target description of a red mug.",B,object_002,"The mug is red with white decorative patterns, matching the target description of a red mug.",16,True,"[{""index"":0,""token"":""B"",""logprob"":-1.9361264946837764e-07}]",1,20,-1.9361264946837764e-07,0.9999998063873693,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005""}",True,31d4a0d8d546eda15f7338eedb7657508df123e7227052a0341b17856218a17f,41ce1d5b45afaae53b56acbb2d16db9511b240e329f95808d856fa0625b2a82b,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_red_coffee_mug_label_then_evidence.json,397ca2b3781dcac7d1ca970f049f15edf1152cc0cb0e9fd402277f1577803a74,raw_label_likelihood
fresh_white_yellow_mug,additional_objects,exploratory_new_objects,yellow and white mug,object_002,,c455e2ac5c5a41a9beed23f0c6c022ff4c6566be308b44e574b35285a99f6fe1,aadcf6bab1fa826795bd535a552a3bddd1273357c453635a30c8a7aa6acc63ef,label_only,gpt-4.1-mini-2025-04-14,openai,B,B,object_002,,0,True,"[{""index"":0,""token"":""B"",""logprob"":0.0}]",1,1,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005""}",True,fdb5da7e45e46a5ea354f9b6ca0c659b36465b345187626b458bb7d3437912ba,efbd38200b3d1733901b07366250392e1da324226e161977cb4df5505a3fac66,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_white_yellow_mug_label_only.json,e38b5107410a7ca995efbf6d8cd65d6c0fe19d2297f53ba9d3cd3712ae2b276e,raw_label_likelihood
fresh_white_yellow_mug,additional_objects,exploratory_new_objects,yellow and white mug,object_002,,c455e2ac5c5a41a9beed23f0c6c022ff4c6566be308b44e574b35285a99f6fe1,aadcf6bab1fa826795bd535a552a3bddd1273357c453635a30c8a7aa6acc63ef,label_then_evidence,gpt-4.1-mini-2025-04-14,openai,"B
The mug is half yellow and half white, matching the target description exactly.",B,object_002,"The mug is half yellow and half white, matching the target description exactly.",13,True,"[{""index"":0,""token"":""B"",""logprob"":0.0}]",1,17,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005""}",True,fdb5da7e45e46a5ea354f9b6ca0c659b36465b345187626b458bb7d3437912ba,5ccd8edbfc5f5a23c3beca34b0ff8f44694373913849e5fa780fd7030705865c,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_white_yellow_mug_label_then_evidence.json,d45cb175bf37adf189fb3887bfd99c0d663546fc39d6f07ec6d755809af16286,raw_label_likelihood
fresh_wine_bottle,additional_objects,exploratory_new_objects,wine bottle,object_005,,fe65f5b56a4b6940a9fdc64ebee3e47cc0e453474b3bb39989e018b9c90027fc,94b63eafbb2d307ed7e808570a6cb8bbee46aad8d85b8cd5a810dce033c28a91,label_only,gpt-4.1-mini-2025-04-14,openai,E,E,object_005,,0,True,"[{""index"":0,""token"":""E"",""logprob"":0.0}]",1,1,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005""}",True,4e60d1514f8dd59abe4c86055f711082f5ac985983f43eafb5b211d0d747cfd3,d975302f7afe7bb6b6593d9d7cd1da73b0b03dba5a2333655663074d0a35436a,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_wine_bottle_label_only.json,3cb4c05e0aa513c1eea85013d94c1e25a46a6d79a437b709b5f85525f8c2a75e,raw_label_likelihood
fresh_wine_bottle,additional_objects,exploratory_new_objects,wine bottle,object_005,,fe65f5b56a4b6940a9fdc64ebee3e47cc0e453474b3bb39989e018b9c90027fc,94b63eafbb2d307ed7e808570a6cb8bbee46aad8d85b8cd5a810dce033c28a91,label_then_evidence,gpt-4.1-mini-2025-04-14,openai,"E
The object is a tall, dark bottle with a cork, matching the typical appearance of a wine bottle.",E,object_005,"The object is a tall, dark bottle with a cork, matching the typical appearance of a wine bottle.",18,True,"[{""index"":0,""token"":""E"",""logprob"":0.0}]",1,23,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005""}",True,4e60d1514f8dd59abe4c86055f711082f5ac985983f43eafb5b211d0d747cfd3,0c1949681a9d5cc4e91110a60d7cf162803ed95d0f43552f27af9e92955857c5,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_wine_bottle_label_then_evidence.json,bc52cb18015b573c006f676d6d7aaf6b9dd532f3e99c89bc6b26c3ab92210f48,raw_label_likelihood
fresh_wooden_tray,additional_objects,exploratory_new_objects,wooden tray,object_001,,42e650f5581a5454c31cc5d3bfb6dbe510e32ccb02a8097d3dbf908ab73a6f83,fc5cc90523a2defc3c593ac7300baa03ec7327a0fe89f1425fd93fc0bad0b464,label_only,gpt-4.1-mini-2025-04-14,openai,A,A,object_001,,0,True,"[{""index"":0,""token"":""A"",""logprob"":0.0}]",1,1,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005""}",True,5b49a98891c617b804102a0a54459221c0ca9749d957a558a94ef0029e7a7159,f6cd2da7d470454bbdae0dec9fad5add63869e7082bfaac6dbed76a6f3444109,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_wooden_tray_label_only.json,8b043785c07cdde4f79d8261d870895acd5e8e48176bc22ab4162c81570ae5b9,raw_label_likelihood
fresh_wooden_tray,additional_objects,exploratory_new_objects,wooden tray,object_001,,42e650f5581a5454c31cc5d3bfb6dbe510e32ccb02a8097d3dbf908ab73a6f83,fc5cc90523a2defc3c593ac7300baa03ec7327a0fe89f1425fd93fc0bad0b464,label_then_evidence,gpt-4.1-mini-2025-04-14,openai,"A
The object is a wooden tray with slats and handles, matching the target description.",A,object_001,"The object is a wooden tray with slats and handles, matching the target description.",14,True,"[{""index"":0,""token"":""A"",""logprob"":0.0}]",1,19,0.0,1.0,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005""}",True,5b49a98891c617b804102a0a54459221c0ca9749d957a558a94ef0029e7a7159,46934d878dbc7e310490a6de41d9766c83d0bf2bf54dacef19e6a3d7ea68dc0e,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/fresh_wooden_tray_label_then_evidence.json,5b68c9937cbd99006bde613cdf63a43d6543d7cd0149c1e57ab0ad1a3cf3ad22,raw_label_likelihood
task_00_alphabet_soup_state_01,additional_states,calibration,alphabet soup,object_005,1,bd105ff3dbbe9ada7a751a2afeb80ea958e8e59abab6598a33fd532c614e6448,6fae60c60eb8bd2a558bfc57457340f2d1f334adde8df06659328814285d2f8d,label_only,gpt-4.1-mini-2025-04-14,openai,G,G,object_007,,0,True,"[{""index"":0,""token"":""G"",""logprob"":-3.128163257315464e-07}]",1,1,-3.128163257315464e-07,0.9999996871837232,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005"",""F"":""object_006"",""G"":""object_007""}",False,b9fcfaa3588978919affb457d59ae5c89c7c1eae738ede82531046e5d0dc0ce1,06fb43ca69b8d516ceaf38907ac291ef6873a19feeedbdfb124c299e886f8e35,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/task_00_alphabet_soup_state_01_label_only.json,b373b7a17aa136c9a0d6f236ecfb095926d959324ae8085b9df344ba49e2e203,raw_label_likelihood
task_00_alphabet_soup_state_01,additional_states,calibration,alphabet soup,object_005,1,bd105ff3dbbe9ada7a751a2afeb80ea958e8e59abab6598a33fd532c614e6448,6fae60c60eb8bd2a558bfc57457340f2d1f334adde8df06659328814285d2f8d,label_then_evidence,gpt-4.1-mini-2025-04-14,openai,"E
The can in E shows a label with ""SO"" and a design consistent with alphabet soup packaging.",E,object_005,"The can in E shows a label with ""SO"" and a design consistent with alphabet soup packaging.",17,True,"[{""index"":0,""token"":""E"",""logprob"":-0.02723122388124466}]",1,22,-0.02723122388124466,0.9731362031783409,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005"",""F"":""object_006"",""G"":""object_007""}",True,b9fcfaa3588978919affb457d59ae5c89c7c1eae738ede82531046e5d0dc0ce1,4baee249c5c215b1017ff84feb511e1803be6ed32a69e05e35e0b0484582a3cb,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/task_00_alphabet_soup_state_01_label_then_evidence.json,35998e39021bbc62ca27a57ec8fe74747466500f9bdb90bcbc52bac077e6b6ce,raw_label_likelihood
task_00_alphabet_soup_state_02,additional_states,calibration,alphabet soup,object_005,2,2b8a7b2189f0105989870b5e1fb93ce68a6b94e47fd406688b68d97d6f49bf85,1114c457bfc0a59a3eb2c49d0dfce5848c1924cbe9ed980230423626c1e9ed16,label_only,gpt-4.1-mini-2025-04-14,openai,E,E,object_005,,0,True,"[{""index"":0,""token"":""E"",""logprob"":-0.0012011817889288068}]",1,1,-0.0012011817889288068,0.9987995393411512,"[0,1]","{""A"":""object_001"",""B"":""object_002"",""C"":""object_003"",""D"":""object_004"",""E"":""object_005"",""F"":""object_006"",""G"":""object_007""}",True,10a44d49b0a8c35a06efdf07da50701a5808fc17d6828ef5172e21cba76b6e2c,8fb19c29619d150f6288eff11e56958f0a3962e74392507bd33cddd3233ef4d0,outputs/simulation/experiments/put_all_objects_into_basket/openai_vlm_confidence/explanation_expansion/responses/task_00_alphabet_soup_state_02_label_only.json,a6d44d33bd96234a1b30dd9eede7ea6e89cc99ca9d3b3a4655a5be6079a80d01,raw_label_likelihood
