sample_id,partition,task_index,initial_state_index,target_description,provider,model,predicted_object_id,ground_truth_object_id,correct,raw_log_probability,raw_association_likelihood,association_score,score_type,candidate_scores,association_margin,score_unavailable_reason
task_00_alphabet_soup_state_10,calibration,0,10,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.005862547550350428,0.9941546036485985,0.9941547705528077,candidate_normalized,"{""object_001"":2.7375498057083658e-05,""object_002"":0.0006230631668125287,""object_003"":0.0006230631668125287,""object_004"":0.0001575351143762833,""object_005"":0.0007060230636365349,""object_006"":0.00012268847043749276,""object_007"":0.9941547705528077,""none"":0.0035854809670599827}",0.9905692895857476,
task_00_alphabet_soup_state_11,calibration,0,11,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.02497965097427368,0.9753297588367545,0.9753305245986589,candidate_normalized,"{""object_001"":0.0004201162346830243,""object_002"":0.007446738440068119,""object_003"":0.0006926545722883491,""object_004"":0.0004201162346830243,""object_005"":0.005118063491819427,""object_006"":0.0021335262840426854,""object_007"":0.9753305245986589,""none"":0.008438260143756461}",0.9668922644549024,
task_00_alphabet_soup_state_12,calibration,0,12,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-1.2471589798224159e-05,0.9999875284879717,0.9999876078637726,candidate_normalized,"{""object_001"":4.1398827149467063e-08,""object_002"":1.760324602704476e-06,""object_003"":9.931062364807088e-08,""object_004"":1.855368481022237e-07,""object_005"":1.6373569376552098e-07,""object_006"":1.0129968669361902e-05,""object_007"":0.9999876078637726,""none"":1.1860962562708184e-08}",0.9999774778951033,
task_00_alphabet_soup_state_13,calibration,0,13,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.0018709286814555526,0.9981308204146286,0.9981308728709868,candidate_normalized,"{""object_001"":1.9910048225401758e-06,""object_002"":1.1457441679730012e-05,""object_003"":3.114455551863937e-05,""object_004"":1.2982982315489442e-05,""object_005"":0.0013243001990635725,""object_006"":0.00048718281717473685,""object_007"":0.9981308728709868,""none"":6.812843857677738e-08}",0.9968065726719232,
task_00_alphabet_soup_state_14,calibration,0,14,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.5135536193847656,0.5983654331879842,0.59836556699046,candidate_normalized,"{""object_001"":0.00013795906280903708,""object_002"":0.00012174844561244886,""object_003"":0.00013795906280903708,""object_004"":5.750989355552939e-05,""object_005"":0.03825222970821663,""object_006"":0.3629270245323863,""object_007"":0.59836556699046,""none"":2.3041509883392408e-09}",0.23543854245807366,
task_00_alphabet_soup_state_15,calibration,0,15,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_002,object_005,False,-0.3207291066646576,0.7256197899334799,0.7256205082435353,candidate_normalized,"{""object_001"":0.002309490084987509,""object_002"":0.7256205082435353,""object_003"":0.0005153168925244737,""object_004"":0.0012361809620408584,""object_005"":0.1834655931977471,""object_006"":0.01035041647194265,""object_007"":0.07647985270312017,""none"":2.2641444101868377e-05}",0.5421549150457882,
task_00_alphabet_soup_state_16,calibration,0,16,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.0004338877333793789,0.9995662063822909,0.9995663113054313,candidate_normalized,"{""object_001"":2.5601776833089215e-06,""object_002"":0.0003353171041406213,""object_003"":7.885902436352071e-06,""object_004"":2.752450403195263e-05,""object_005"":3.53421627587514e-05,""object_006"":1.8917296525199928e-05,""object_007"":0.9995663113054313,""none"":6.141546992655693e-06}",0.9992309942012907,
task_00_alphabet_soup_state_17,calibration,0,17,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.0003971839905716479,0.9996028948765476,0.9996029441208137,candidate_normalized,"{""object_001"":1.4733352815553978e-05,""object_002"":0.00012336085278104466,""object_003"":4.004940523079629e-05,""object_004"":7.88619547492771e-06,""object_005"":4.004940523079629e-05,""object_006"":3.119050815528817e-05,""object_007"":0.9996029441208137,""none"":0.00013978615949784528}",0.9994631579613159,
task_00_alphabet_soup_state_18,calibration,0,18,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.29813897609710693,0.7421981847729029,0.7421998229331529,candidate_normalized,"{""object_001"":0.0003622640173645439,""object_002"":0.0020846854837465907,""object_003"":0.005666762668520712,""object_004"":0.0014327819826302033,""object_005"":0.2409569780707809,""object_006"":0.007276267296717845,""object_007"":0.7421998229331529,""none"":2.043754708621648e-05}",0.501242844862372,
task_00_alphabet_soup_state_19,calibration,0,19,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.030970675870776176,0.9695040025198425,0.9695043659592284,candidate_normalized,"{""object_001"":9.318066234860917e-05,""object_002"":0.022800556319741077,""object_003"":0.0012863193660982443,""object_004"":0.0006885171414293882,""object_005"":0.004489695740507787,""object_006"":0.0008840735094205229,""object_007"":0.9695043659592284,""none"":0.00025329130122600226}",0.9467038096394873,
task_00_alphabet_soup_state_20,calibration,0,20,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_005,object_005,True,-0.026486532762646675,0.9738611589665995,0.973861399552502,candidate_normalized,"{""object_001"":2.201247520632854e-06,""object_002"":6.432988221571434e-05,""object_003"":0.0018799947334854547,""object_004"":0.004509873755703646,""object_005"":0.973861399552502,""object_006"":0.013891388322833058,""object_007"":0.005790793461235061,""none"":1.904450445287706e-08}",0.9599700112296689,
task_00_alphabet_soup_state_21,calibration,0,21,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_002,object_005,False,-0.22000357508659363,0.8025159288934114,0.8025172109801729,candidate_normalized,"{""object_001"":0.0010647636468940627,""object_002"":0.8025172109801729,""object_003"":0.0006458117971886853,""object_004"":0.0010647636468940627,""object_005"":0.17906580164340097,""object_006"":0.014698608754176438,""object_007"":0.0009396506203686883,""none"":3.3889109041142855e-06}",0.623451409336772,
task_00_alphabet_soup_state_22,calibration,0,22,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-3.8889261304575484e-06,0.9999961110814314,0.9999961893305018,candidate_normalized,"{""object_001"":1.605222050325482e-09,""object_002"":4.691146473060768e-08,""object_003"":1.955560793367823e-08,""object_004"":1.1861075781095466e-08,""object_005"":3.7266392313610403e-06,""object_006"":3.850727517857008e-09,""object_007"":0.9999961893305018,""none"":2.461687743064124e-10}",0.9999924626912705,
task_00_alphabet_soup_state_23,calibration,0,23,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.6175239682197571,0.5392780554769555,0.5392808024923399,candidate_normalized,"{""object_001"":0.009877261912065715,""object_002"":0.1363515273867188,""object_003"":0.02369432522206334,""object_004"":0.050160886888734206,""object_005"":0.17507881167223407,""object_006"":0.05683973138242921,""object_007"":0.5392808024923399,""none"":0.00871665304341479}",0.36420199082010585,
task_00_alphabet_soup_state_24,calibration,0,24,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.00016277639952022582,0.9998372368478391,0.9998372195789871,candidate_normalized,"{""object_001"":4.222162424768083e-06,""object_002"":3.5351733160806e-05,""object_003"":4.539252390243777e-05,""object_004"":1.4736794884549288e-05,""object_005"":5.14364682408463e-05,""object_006"":1.147702739604966e-05,""object_007"":0.9998372195789871,""none"":1.6371100335724497e-07}",0.9997857831107463,
task_00_alphabet_soup_state_25,calibration,0,25,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.09321126341819763,0.9110010187754964,0.9110018239195689,candidate_normalized,"{""object_001"":0.0003924072067923894,""object_002"":0.051395213125840965,""object_003"":0.0032855853160750335,""object_004"":0.0006469701086146362,""object_005"":0.03117276554673845,""object_006"":0.0019928082293011315,""object_007"":0.9110018239195689,""none"":0.00011242654706852805}",0.8596066107937279,
task_00_alphabet_soup_state_26,calibration,0,26,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_006,object_005,False,-0.16189055144786835,0.8505342891926403,,candidate_normalized,,,Candidate-normalized score requires returned log probabilities for every valid candidate label and NONE.
task_00_alphabet_soup_state_27,calibration,0,27,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_002,object_005,False,-0.016221584752202034,0.9839092766053795,0.9839095164113408,candidate_normalized,"{""object_001"":0.009645912424523923,""object_002"":0.9839095164113408,""object_003"":0.0006987472602468856,""object_004"":0.000897209241997925,""object_005"":0.004556404494896173,""object_006"":0.00029128105525767756,""object_007"":9.270837490612073e-07,""none"":2.0279874668830782e-09}",0.9742636039868169,
task_00_alphabet_soup_state_28,calibration,0,28,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_006,object_005,False,-0.6151964664459229,0.5405346879475277,,candidate_normalized,,,Candidate-normalized score requires returned log probabilities for every valid candidate label and NONE.
task_00_alphabet_soup_state_29,calibration,0,29,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_005,object_005,True,-0.002538682660087943,0.9974645370695361,0.9974645640894051,candidate_normalized,"{""object_001"":5.4085004770066584e-06,""object_002"":3.996371343569538e-05,""object_003"":2.423921747471895e-05,""object_004"":5.814685994519884e-05,""object_005"":0.9974645640894051,""object_006"":0.0007083737701162562,""object_007"":0.0016993004594942683,""none"":3.389651647511291e-09}",0.9957652636299108,
task_00_alphabet_soup_state_30,validation,0,30,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_006,object_005,False,-0.00020354038861114532,0.9997964803243284,,candidate_normalized,,,Candidate-normalized score requires returned log probabilities for every valid candidate label and NONE.
task_00_alphabet_soup_state_31,validation,0,31,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_005,object_005,True,-0.00015872348740231246,0.999841289108504,,candidate_normalized,,,Candidate-normalized score requires returned log probabilities for every valid candidate label and NONE.
task_00_alphabet_soup_state_32,validation,0,32,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-7.97024549683556e-05,0.9999203007211879,0.9999204142514722,candidate_normalized,"{""object_001"":6.023091845951406e-08,""object_002"":2.902088171930535e-06,""object_003"":6.475433985677242e-07,""object_004"":1.9945740866739483e-06,""object_005"":7.888693542344702e-06,""object_006"":6.605122234530373e-05,""object_007"":0.9999204142514722,""none"":4.139606450895727e-08}",0.9998543630291269,
task_00_alphabet_soup_state_33,validation,0,33,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.0003995680599473417,0.9996005117567388,0.9996006365085442,candidate_normalized,"{""object_001"":4.449074582797172e-07,""object_002"":3.5343377101345136e-05,""object_003"":2.429112415802086e-05,""object_004"":9.607325973096201e-05,""object_005"":0.00015839802686393515,""object_006"":8.478435413377931e-05,""object_007"":0.9996006365085442,""none"":2.8442009367135658e-08}",0.9994422384816803,
task_00_alphabet_soup_state_34,validation,0,34,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.006221459712833166,0.9937978534947751,0.9937980344017595,candidate_normalized,"{""object_001"":6.435785831791485e-07,""object_002"":2.1312395652912358e-05,""object_003"":0.0009062265552976603,""object_004"":3.981679702174958e-05,""object_005"":1.8808123150352553e-05,""object_006"":0.005214973760183371,""object_007"":0.9937980344017595,""none"":1.8438835123731092e-07}",0.9885830606415762,
task_00_alphabet_soup_state_35,validation,0,35,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.002135748043656349,0.9978665310433893,0.9978666827082421,candidate_normalized,"{""object_001"":6.947454649098365e-06,""object_002"":0.00010867647560793743,""object_003"":1.1454416257192971e-05,""object_004"":1.88851397266874e-05,""object_005"":0.0004870539406894822,""object_006"":0.0015002317544436665,""object_007"":0.9978666827082421,""none"":6.811038380162229e-08}",0.9963664509537984,
task_00_alphabet_soup_state_36,validation,0,36,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_006,object_005,False,-0.2427983283996582,0.7844296950126372,0.7844298963795705,candidate_normalized,"{""object_001"":0.00015960673145407978,""object_002"":0.004664390189254291,""object_003"":0.001040766129923075,""object_004"":0.011189290386424636,""object_005"":0.19833495210351154,""object_006"":0.7844298963795705,""object_007"":0.00018085812084624287,""none"":2.3995901553110984e-07}",0.586094944276059,
task_00_alphabet_soup_state_37,validation,0,37,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_005,object_005,True,-0.021049663424491882,0.9791703344099318,0.9791707739780887,candidate_normalized,"{""object_001"":0.00025581675180671786,""object_002"":0.0021419274386233417,""object_003"":0.00017582011085188825,""object_004"":0.0021419274386233417,""object_005"":0.9791707739780887,""object_006"":0.01396712139613479,""object_007"":0.0021419274386233417,""none"":4.6854472477807815e-06}",0.965203652581954,
task_00_alphabet_soup_state_38,validation,0,38,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_005,object_005,True,-0.47533437609672546,0.6216771477290204,,candidate_normalized,,,Candidate-normalized score requires returned log probabilities for every valid candidate label and NONE.
task_00_alphabet_soup_state_39,validation,0,39,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.00014025058771949261,0.9998597592469344,0.9998598561853711,candidate_normalized,"{""object_001"":1.5532824823018537e-06,""object_002"":0.00010889350891265834,""object_003"":1.1477291399214653e-05,""object_004"":3.288299040837201e-06,""object_005"":5.421488573051122e-06,""object_006"":8.93852352924707e-06,""object_007"":0.9998598561853711,""none"":5.714206915705967e-07}",0.9997509626764585,
task_00_alphabet_soup_state_40,test,0,40,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.0010264969896525145,0.9989740296781593,0.9989742162508627,candidate_normalized,"{""object_001"":5.709146800655022e-07,""object_002"":0.0005525168997573989,""object_003"":2.427590992610483e-05,""object_004"":4.002420906076941e-05,""object_005"":0.0002609906277195549,""object_006"":9.60130862764538e-05,""object_007"":0.9989742162508627,""none"":5.1392101716851717e-05}",0.9984216993511053,
task_00_alphabet_soup_state_41,test,0,41,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.0003457136917859316,0.9996543460603065,0.9996544276910747,candidate_normalized,"{""object_001"":1.994043354651082e-06,""object_002"":0.00012336709390251682,""object_003"":1.4734098211216711e-05,""object_004"":2.1437986399461712e-05,""object_005"":1.669592059537491e-05,""object_006"":8.936682308320004e-06,""object_007"":0.9996544276910747,""none"":0.0001584064841537349}",0.9994960212069209,
task_00_alphabet_soup_state_42,test,0,42,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.01735171675682068,0.9827979573292684,0.9827980572718253,candidate_normalized,"{""object_001"":3.474926757938369e-05,""object_002"":0.0006159457994605077,""object_003"":0.0005435702601838904,""object_004"":6.492017867891416e-05,""object_005"":0.01588545215645696,""object_006"":5.729185659938024e-05,""object_007"":0.9827980572718253,""none"":1.3209215468961786e-08}",0.9669126051153684,
task_00_alphabet_soup_state_43,test,0,43,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_006,object_005,False,-0.03043712116777897,0.970021423964009,0.9700214415478463,candidate_normalized,"{""object_001"":0.00011971011122651555,""object_002"":1.4297333915321907e-05,""object_003"":0.0004178295428930466,""object_004"":0.002121913504924299,""object_005"":0.022812716189284012,""object_006"":0.9700214415478463,""object_007"":0.004492091295020267,""none"":4.748902089950631e-10}",0.9472087253585623,
task_00_alphabet_soup_state_44,test,0,44,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.019547075033187866,0.9806427303129933,0.9806428377588833,candidate_normalized,"{""object_001"":2.5117082564299487e-06,""object_002"":0.00017608434301160197,""object_003"":0.0021451474681990603,""object_004"":0.0002903140017604856,""object_005"":0.013988120410312742,""object_006"":0.0027544238717109523,""object_007"":0.9806428377588833,""none"":5.604378655033479e-07}",0.9666547173485706,
task_00_alphabet_soup_state_45,test,0,45,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.02175631932914257,0.9784786423343906,0.9784804957548195,candidate_normalized,"{""object_001"":0.0016669584444384627,""object_002"":0.005134593487005544,""object_003"":0.002425410225183275,""object_004"":0.003114288375029664,""object_005"":0.0058182566669273345,""object_006"":0.001888911382642127,""object_007"":0.9784804957548195,""none"":0.0014710856639541785}",0.9726622390878922,
task_00_alphabet_soup_state_46,test,0,46,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_005,object_005,True,-0.0052422950975596905,0.9947714217516607,0.9947717350435056,candidate_normalized,"{""object_001"":8.437476456104601e-05,""object_002"":0.0007064612542545121,""object_003"":0.00015763281280046975,""object_004"":0.00017862137797742492,""object_005"":0.9947717350435056,""object_006"":0.002176053858462513,""object_007"":0.0019203607899504257,""none"":4.760098488074341e-06}",0.992595681185043,
task_00_alphabet_soup_state_47,test,0,47,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_007,object_005,False,-0.014275862835347652,0.9858255541160836,0.9858255969445786,candidate_normalized,"{""object_001"":1.2571158744237105e-07,""object_002"":4.475642526155513e-05,""object_003"":1.0525702347247196e-06,""object_004"":6.51202145045639e-05,""object_005"":1.1927183332225024e-06,""object_006"":0.01406204447551908,""object_007"":0.9858255969445786,""none"":1.1093998073622443e-07}",0.9717635524690595,
task_00_alphabet_soup_state_48,test,0,48,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_005,object_005,True,0.0,1.0,,candidate_normalized,,,Candidate-normalized score requires returned log probabilities for every valid candidate label and NONE.
task_00_alphabet_soup_state_49,test,0,49,alphabet soup,openai,gpt-4.1-mini-2025-04-14,object_006,object_005,False,-0.16047006845474243,0.8517433171840637,,candidate_normalized,,,Candidate-normalized score requires returned log probabilities for every valid candidate label and NONE.
task_01_cream_cheese_state_00,calibration,1,0,cream cheese,openai,gpt-4.1-mini-2025-04-14,object_006,object_006,True,-7.703443770878948e-06,0.9999922965859006,0.9999924066409135,candidate_normalized,"{""object_001"":7.19407892739072e-09,""object_002"":6.023528538053905e-08,""object_003"":6.144166146242772e-06,""object_004"":6.3487523703714194e-09,""object_005"":4.3634294378550476e-09,""object_006"":0.9999924066409135,""object_007"":1.3709487761897106e-06,""none"":1.026180245801037e-10}",0.9999862624747673,
task_01_cream_cheese_state_01,calibration,1,1,cream cheese,openai,gpt-4.1-mini-2025-04-14,object_006,object_006,True,0.0,1.0,0.9999999979225724,candidate_normalized,"{""object_001"":6.914400092083091e-13,""object_002"":1.291780002010322e-12,""object_003"":2.061153618009715e-09,""object_004"":5.109089017085322e-12,""object_005"":5.109089017085322e-12,""object_006"":0.9999999979225724,""object_007"":3.9789625272875624e-12,""none"":9.35762294873326e-14}",0.9999999958614189,
task_01_cream_cheese_state_02,calibration,1,2,cream cheese,openai,gpt-4.1-mini-2025-04-14,object_006,object_006,True,-5.848420551046729e-05,0.9999415175046573,0.9999415174891447,candidate_normalized,"{""object_001"":1.3439615266931289e-08,""object_002"":1.2751164099945422e-07,""object_003"":5.829127256314355e-05,""object_004"":3.6532661961580086e-08,""object_005"":5.602465163875093e-09,""object_006"":0.9999415174891447,""object_007"":8.151538714135815e-09,""none"":3.700792850779421e-13}",0.9998832262165815,
task_01_cream_cheese_state_03,calibration,1,3,cream cheese,openai,gpt-4.1-mini-2025-04-14,object_006,object_006,True,-1.6240566083070007e-06,0.9999983759447105,0.999998514231938,candidate_normalized,"{""object_001"":1.3440386171869545e-08,""object_002"":9.931176741523584e-08,""object_003"":1.3709566608330664e-06,""object_004"":9.056060967329822e-11,""object_005"":1.4930920345593855e-10,""object_006"":0.999998514231938,""object_007"":1.8189584693794176e-09,""none"":4.193788238562688e-13}",0.9999971432752771,
task_01_cream_cheese_state_04,calibration,1,4,cream cheese,openai,gpt-4.1-mini-2025-04-14,object_006,object_006,True,-7.896309739408025e-07,0.9999992103693378,0.999999331375495,candidate_normalized,"{""object_001"":9.73620149067216e-10,""object_002"":4.599055934940737e-10,""object_003"":6.475946783207565e-07,""object_004"":1.3887945544809492e-11,""object_005"":2.5946098121129176e-11,""object_006"":0.999999331375495,""object_007"":1.955568345324905e-08,""none"":7.835042732768355e-13}",0.9999986837808167,
task_01_cream_cheese_state_05,calibration,1,5,cream cheese,openai,gpt-4.1-mini-2025-04-14,object_006,object_006,True,0.0,1.0,0.9999999849204839,candidate_normalized,"{""object_001"":9.237449520995862e-09,""object_002"":4.277787803684745e-11,""object_003"":5.60279635203177e-09,""object_004"":1.7832472636001134e-11,""object_005"":6.224144527919756e-11,""object_006"":0.9999999849204839,""object_007"":1.1628232852759972e-10,""none"":1.3615260873111072e-13}",0.9999999756830344,
task_01_cream_cheese_state_06,calibration,1,6,cream cheese,openai,gpt-4.1-mini-2025-04-14,object_006,object_006,True,0.0,1.0,0.9999999949638936,candidate_normalized,"{""object_001"":5.211412459901951e-10,""object_002"":2.1724399234124713e-10,""object_003"":3.85074190208817e-09,""object_004"":1.9171715034626215e-10,""object_005"":2.4616969385954564e-10,""object_006"":0.9999999949638936,""object_007"":7.433680632431465e-12,""none"":1.6586783500067138e-12}",0.9999999911131516,
task_01_cream_cheese_state_07,calibration,1,7,cream cheese,openai,gpt-4.1-mini-2025-04-14,object_006,object_006,True,0.0,1.0,0.9999999881279723,candidate_normalized,"{""object_001"":6.914400023897975e-13,""object_002"":1.006039267200744e-12,""object_003"":6.560200089365506e-12,""object_004"":1.1399918393530067e-12,""object_005"":1.1399918393530067e-12,""object_006"":0.9999999881279723,""object_007"":1.1861120008891291e-08,""none"":3.70101163414337e-13}",0.9999999762668523,
task_01_cream_cheese_state_08,calibration,1,8,cream cheese,openai,gpt-4.1-mini-2025-04-14,object_006,object_006,True,0.0,1.0,0.9999999629826231,candidate_normalized,"{""object_001"":2.3355929519274598e-09,""object_002"":3.2241866173338055e-08,""object_003"":2.3355929519274598e-09,""object_004"":1.463778459680984e-12,""object_005"":1.2256066988237708e-11,""object_006"":0.9999999629826231,""object_007"":9.056076652834044e-11,""none"":4.420227939231746e-14}",0.9999999307407569,
task_01_cream_cheese_state_09,calibration,1,9,cream cheese,openai,gpt-4.1-mini-2025-04-14,object_006,object_006,True,0.0,1.0,,candidate_normalized,,,Candidate-normalized score requires returned log probabilities for every valid candidate label and NONE.
task_01_cream_cheese_state_10,calibration,1,10,cream cheese,openai,gpt-4.1-mini-2025-04-14,object_006,object_006,True,-5.512236498361744e-07,0.999999448776502,0.99999953053323,candidate_normalized,"{""object_001"":3.927860119497106e-07,""object_002"":4.3634626083395805e-09,""object_003"":6.82560393226756e-08,""object_004"":1.2501529682093666e-09,""object_005"":1.1032561222017042e-09,""object_006"":0.99999953053323,""object_007"":1.6052281859284487e-09,""none"":1.0261880467512885e-10}",0.999999137747218,
task_01_cream_cheese_state_11,calibration,1,11,cream cheese,openai,gpt-4.1-mini-2025-04-14,object_006,object_006,True,-5.319370302458992e-06,0.9999946806438453,0.9999946664849255,candidate_normalized,"{""object_001"":2.1024217919585273e-07,""object_002"":3.059005657205871e-07,""object_003"":4.785089942732055e-06,""object_004"":4.058628844381611e-10,""object_005"":4.599028996583424e-10,""object_006"":0.9999946664849255,""object_007"":1.9555568908439022e-08,""none"":1.1861052111091383e-08}",0.9999898813949828,
